Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0056123771364854,0.00649825664579362,0.0124893822394179,0,0,0,0.192970315600193,0.000108537349210273,-1.51872821036693E-07,-2.0025978201521E-08,0.000130879701084588,-8.40191538936318E-11,0.000218823485546675,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/base_link.STL,,"肩部连接件-1;XL,XC-330.stp-8;舵机底座A 肩部-2",坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-8.09453037351991E-05,-5.20288063721175E-06,0.0499265705171848,0,0,0,0.0247648095830755,2.63934350117198E-06,4.53691752492843E-09,6.51065885822624E-08,2.83034827414881E-06,1.32071852497683E-09,1.91165957201144E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link1.STL,,"舵机底座B(90-90)-3;XL,XC-330.stp-9;骨骼连接件34-3;骨骼连接件34-4;大小转接件-7",坐标系9,基准轴9,joint1,revolute,0.0038974,0.073,0.0125,-1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link2,-0.050073529318353,1.08473305191759E-05,-0.0120639530709679,0,0,0,0.0250912618003005,3.54422284036096E-06,2.61565600345329E-11,5.38598418794176E-09,3.14613516997195E-06,3.2423555596215E-09,1.18567717430653E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link2.STL,,"舵机底座A-4;XL,XC-330.stp-10;骨骼连接件22.5-4;骨骼连接件22.5-3;大小转接件-8;fpx330-..01.stp-4",坐标系10,基准轴10,joint2,revolute,-0.0173,0,0.068,1.5708,0,-1.5708,Link1,0,0,1,0,0,0,0,,,,,,,,
Link3,0.000465712730662187,5.59566534354128E-05,0.0978997402485848,0,0,0,0.0273650717145351,5.95252288520202E-06,-1.58986059660229E-08,-1.02140695349377E-07,6.13411804142684E-06,-2.53861598094826E-08,1.94088531281649E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link3.STL,,"XL,XC-330.stp-11;舵机底座B(0-135)-2;骨骼连接件94-3;骨骼连接件94-4;大小转接件-9",坐标系11,基准轴11,joint3,revolute,-0.075,0,-0.0173,0,-1.5708,0,Link2,0,0,1,0,0,0,0,,,,,,,,
Link4,0.0419896820350376,0.00127199531724956,0.0223771809703008,0,0,0,0.0258917537291028,3.82289080194557E-06,1.77091146388231E-07,-3.97111143556555E-09,3.47125324025841E-06,6.72291875048199E-10,1.53989864986402E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link4.STL,,"XL,XC-330.stp-13;舵机底座A-5;舵机45度偏转连接件-2;fpx330-..01.stp-5",坐标系12,基准轴12,joint4,revolute,0.0173,0,0.128,0,-1.5708,0,Link3,0,0,-1,0,0,0,0,,,,,,,,
Link5,-7.96592790369994E-05,-5.12021947066121E-06,0.0573305303943935,0,0,0,0.025164614315877,2.82377177669696E-06,4.53691752492844E-09,6.5106588582263E-08,3.01324807849293E-06,1.32071852497793E-09,1.91425361842378E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link5.STL,,"XL,XC-330.stp-12;舵机底座B(90-90)-4;骨骼连接件43-3;骨骼连接件43-4;大小转接件-10",坐标系13,基准轴13,joint5,revolute,0.065178,0,0.0173,0,1.5708,0,Link4,0,0,1,0,0,0,0,,,,,,,,
Link6,0.0614420854678283,5.01523036564033E-06,-0.0121210791957616,0,0,0,0.0256914118358871,3.54799287343329E-06,1.41881747750438E-10,-4.90268790499527E-09,3.32687013710215E-06,-3.24235555962372E-09,1.36858362271785E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link6.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link6.STL,,"舵机底座A-6;XL,XC-330.stp-14;骨骼连接件37.5-3;骨骼连接件37.5-4;大小转接件-11;fpx330-..01.stp-6",坐标系14,基准轴14,joint6,revolute,-0.0173,0,0.077,0,-1.5708,0,Link5,0,0,-1,0,0,0,0,,,,,,,,
Link7,-0.0456918749566375,0.00159181302471353,0.0322192924719973,0,0,0,0.0603671967995476,9.65136594698836E-06,-5.55994456047317E-08,1.38653248702235E-06,5.323362014346E-05,3.15149612726217E-08,5.43275002520648E-05,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link7.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM right v2/meshes/Link7.STL,,镜像joycon手柄模拟件-1;joycon手柄支架v5-1,坐标系15,基准轴15,joint7,revolute,0.09,0,-0.0173,0,1.5708,0,Link6,0,0,-1,0,0,0,0,,,,,,,,
