Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00561237713648539,-0.00649825664579372,0.0124886395093204,0,0,0,0.192970315600193,0.000108537349210273,1.51872821036675E-07,-2.2783140434456E-08,0.000130879701084588,-8.40191538950099E-11,0.000218823485546675,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/base_link.STL,,"XL,XC-330.stp-1;舵机底座A 肩部-1;肩部连接件-1",坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,8.09453037325866E-05,-1.09903211080731E-05,0.0500472194620987,0,0,0,0.0247648095830755,2.63934350117199E-06,-4.70495583271314E-09,-6.46232922456025E-08,2.83034827414882E-06,-1.32071852497692E-09,1.91165957201145E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link1.STL,,"舵机底座B(90-90)-1;XL,XC-330.stp-2;骨骼连接件34-1;骨骼连接件34-2;大小转接件-1",坐标系2,基准轴2,joint1,revolute,0.0038974,-0.073,0.0125,-1.5708,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,0.0501926085488433,-5.13518808678559E-06,-0.022536046928789,0,0,0,0.0250912618003005,3.54422284036095E-06,-2.61565647719116E-11,4.90268790499676E-09,3.14613516997195E-06,5.99951779801152E-09,1.18567717430653E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link2.STL,,"XL,XC-330.stp-3;舵机底座A-1;骨骼连接件22.5-1;骨骼连接件22.5-2;大小转接件-2;fpx330-..01.stp-1",坐标系3,基准轴3,joint2,revolute,-0.0173,0,0.068,-1.5708,0,1.5708,Link1,0,0,1,0,0,0,0,,,,,,,,
Link3,0.00046571273066128,7.06111576197765E-05,0.098008924985185,0,0,0,0.0273650717145351,5.95252288520201E-06,-2.51404793236614E-08,-1.02623991686038E-07,6.13411804142683E-06,-2.53861598094708E-08,1.94088531281648E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link3.STL,,"XL,XC-330.stp-4;舵机底座B(0-135)-1;骨骼连接件94-1;骨骼连接件94-2;大小转接件-3",坐标系4,基准轴4,joint3,revolute,0.075,0,-0.0173,0,1.5708,0,Link2,0,0,-1,0,0,0,0,,,,,,,,
Link4,-0.0419896820350397,-0.00127753085812457,-0.0224358318023682,0,0,0,0.0258917537291028,3.82289080194557E-06,1.76923108080445E-07,-6.31756065737031E-09,3.47125324025841E-06,-6.72291875042932E-10,1.53989864986402E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link4.STL,,"XL,XC-330.stp-7;舵机底座A-3;舵机45度偏转连接件-1;fpx330-..01.stp-2",坐标系5,基准轴5,joint4,revolute,0.0173,0,0.128,0,1.5708,0,Link3,0,0,-1,0,0,0,0,,,,,,,,
Link5,-7.9659279051408E-05,0.00444604569852089,0.0576003426534185,0,0,0,0.025164614315877,2.82377177669697E-06,-4.70495583271325E-09,6.4623292245603E-08,3.01324807849294E-06,1.3207185249759E-09,1.91425361842378E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link5.STL,,"XL,XC-330.stp-5;舵机底座B(90-90)-2;骨骼连接件43-2;骨骼连接件43-1;大小转接件-5",坐标系6,基准轴6,joint5,revolute,-0.065027,-0.0044352,-0.0173,0,-1.5708,0,Link4,0,0,-1,0,0,0,0,,,,,,,,
Link6,-0.0615583830137304,-1.05939374421549E-05,-0.0224789208044751,0,0,0,0.0256914118358871,3.54799287343329E-06,-1.41881743012641E-10,-5.38598418793804E-09,3.32687013710215E-06,-5.99951779801431E-09,1.36858362271785E-06,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link6.STL,,"XL,XC-330.stp-6;舵机底座A-2;骨骼连接件37.5-1;大小转接件-4;骨骼连接件37.5-2;fpx330-..01.stp-3",坐标系7,基准轴7,joint6,revolute,0.0173,0.0044352,0.077151,0,1.5708,0,Link5,0,0,-1,0,0,0,0,,,,,,,,
Link7,-0.0456918776102906,-0.00159180881516718,0.0322192933350764,0,0,0,0.0603672149333555,9.65136533704963E-06,5.55975997705986E-08,1.38653144457175E-06,5.32336306038504E-05,-3.15142393687126E-08,5.43275113234997E-05,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link7.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://UH-v3.0 final.SLDASM v9/meshes/Link7.STL,,镜像joycon手柄连接件v5-1;joycon手柄模拟件-1,坐标系8,基准轴8,joint7,revolute,-0.09,0,-0.0173,0,-1.5708,0,Link6,0,0,-1,0,0,0,0,,,,,,,,
